# oslo-screener report=watch_buy.csv schema=oslo_screener.health.v1 snapshot_id=5a4c4ece52904638afc79edafd5c3566 data_fetch_started=2026-09-25T20:01:05Z data_fetch_completed=2026-09-25T20:01:39Z generated_at=2026-09-25T20:01:39Z expected_session=2026-09-25 universe_count=202 coverage_policy=per_stock min_coverage_ratio=0.0049504950495049506 status=degraded market_data_as_of=2026-09-25
# columns=ticker,date,source_latest_date,last_valid_ohlc_date,data_status,note,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk,snapshot_id
ticker,date,source_latest_date,last_valid_ohlc_date,data_status,note,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk,snapshot_id
CLOUD.OL,2026-09-25,2026-09-25,2026-09-25,current,,11.52,21.28,-2.09,-0.1543,13.0056,-11.42,29.64,21.64,11.6,BUY-watch,1.0,3.0,1.5,MODERATE,5a4c4ece52904638afc79edafd5c3566
APR.OL,2026-09-25,2026-09-25,2026-09-25,current,,33.0,23.25,-1.91,0.0823,40.51,-18.54,34.89,17.98,20.17,BUY-watch,2.0,5.0,3.0,HIGH,5a4c4ece52904638afc79edafd5c3566
VEND.OL,2026-09-25,2026-09-25,2026-09-25,current,,208.2,23.87,-0.17,-3.5197,241.8,-13.9,21.09,18.76,11.84,BUY-watch,1.0,3.0,1.5,MODERATE,5a4c4ece52904638afc79edafd5c3566
GJF.OL,2026-09-25,2026-09-25,2026-09-25,current,,259.4,25.15,0.0,-2.2814,278.944,-7.01,24.01,28.95,12.04,BUY-watch,1.0,3.0,1.5,MODERATE,5a4c4ece52904638afc79edafd5c3566
NOM.OL,2026-09-25,2026-09-25,2026-09-25,current,,0.95,26.0,-0.64,-0.0357,3.0997,-69.35,27.72,56.73,17.1,BUY-watch,1.0,3.0,1.5,MODERATE,5a4c4ece52904638afc79edafd5c3566
PROT.OL,2026-09-25,2026-09-25,2026-09-25,current,,428.0,28.56,-1.63,-2.7896,474.798,-9.86,31.43,15.04,26.0,BUY-watch,1.0,5.0,1.5,HIGH,5a4c4ece52904638afc79edafd5c3566
ARCH.OL,2026-09-25,2026-09-25,2026-09-25,current,,21.65,30.18,-0.38,-0.2117,23.7732,-8.93,28.1,38.53,21.51,BUY-watch,1.0,3.0,1.5,MODERATE,5a4c4ece52904638afc79edafd5c3566
ENSU.OL,2026-09-25,2026-09-25,2026-09-25,current,,0.564,31.89,-1.6,-0.0019,0.6423,-12.2,35.02,31.66,22.72,BUY-watch,1.0,5.0,1.5,HIGH,5a4c4ece52904638afc79edafd5c3566
EPR.OL,2026-09-25,2026-09-25,2026-09-25,current,,81.3,31.89,-2.67,-0.3931,85.616,-5.04,31.78,11.78,24.26,BUY-watch,1.0,5.0,1.5,HIGH,5a4c4ece52904638afc79edafd5c3566
NHY.OL,2026-09-25,2026-09-25,2026-09-25,current,,82.38,32.07,-1.14,-0.7257,89.0508,-7.49,24.04,28.79,21.64,BUY-watch,1.0,3.0,1.5,MODERATE,5a4c4ece52904638afc79edafd5c3566
PHO.OL,2026-09-25,2026-09-25,2026-09-25,current,,49.8,33.13,-4.03,-0.1559,53.538,-6.98,14.16,16.36,23.38,BUY-watch,1.0,1.75,1.5,LOW,5a4c4ece52904638afc79edafd5c3566
NAVA.OL,2026-09-25,2026-09-25,2026-09-25,current,,13.35,33.65,0.0,0.0784,15.098,-11.58,14.99,36.83,40.04,BUY-watch,2.0,1.75,3.0,LOW,5a4c4ece52904638afc79edafd5c3566
HYPRO.OL,2026-09-25,2026-09-25,2026-09-25,current,,0.49,33.99,0.0,0.0051,0.5685,-13.81,18.68,37.88,27.69,BUY-watch,2.0,1.75,3.0,LOW,5a4c4ece52904638afc79edafd5c3566
ENTRA.OL,2026-09-25,2026-09-25,2026-09-25,current,,98.6,34.6,-1.77,-0.1767,104.188,-5.36,36.73,8.92,29.95,BUY-watch,1.0,5.0,1.5,HIGH,5a4c4ece52904638afc79edafd5c3566
OTOVO.OL,2026-09-25,2026-09-25,2026-09-25,current,,10.2,34.64,0.0,-0.0813,11.306,-9.78,15.84,14.1,21.99,BUY-watch,1.0,1.75,1.5,LOW,5a4c4ece52904638afc79edafd5c3566
VISTN.OL,2026-09-25,2026-09-25,2026-09-25,current,,18.25,34.72,0.0,-0.0367,19.484,-6.33,25.37,5.79,33.2,BUY-watch,1.0,3.0,1.5,MODERATE,5a4c4ece52904638afc79edafd5c3566
